sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:AdditionalInfo1,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
RD/4808/33,VTE NOT AT RISK ALERT,3591,,VTE Assessment (Old Version),0.35,FLAGGED,WIDER,vvcb,1705047501488,4194399,Elderly at risk rating scale,Measurement,MAPS_TO,,<auto>,1704898297231,
AG/90/1/99/5,Reason,234,,A&E Nursing Assessment,0.40,FLAGGED,EQUAL,vvcb,1704975407909,4158646,Reasons for eating scale,Measurement,MAPS_TO,,<auto>,1704898297668,
AD/1936/1,Sleep Aims/Objectives Achieved,1,,NEW Care Plan: Infection Control/Temperature,0.24,FLAGGED,EQUAL,vvcb,1704980146619,45773666,Malcomess Care Aims Model,Measurement,MAPS_TO,,<auto>,1704898297700,
AD/1094/1,Other Risk Factor,41,,Emergency Admission Assessment (2015),0.85,FLAGGED,EQUAL,vvcb,1704900112164,4214014,Risk factor,Measurement,MAPS_TO,,<auto>,1704898298106,
AD/253/149,BM Value,3,,Resuscitation,0.38,FLAGGED,UNREVIEWED,vvcb,1704962437692,4078281,BM stix glucose measurement,Measurement,MAPS_TO,,<auto>,1704898298137,
RD/5103/13,Tel. or Bleep Number,139,,Additional Medical Entry,0.40,FLAGGED,WIDER,vvcb,1705058312472,4307447,Roche number,Measurement,MAPS_TO,,<auto>,1704898298278,
AG/1118/1/873/4,Score,1,,Moving and Handling Assessment (2015),0.62,FLAGGED,EQUAL,vvcb,1705060908273,40489479,European system for cardiac operative risk evaluation,Measurement,MAPS_TO,,<auto>,1704898298403,
AD/1928/2,Infection Control/Temperature Care Delivered,4,,NEW Care Plan: Hygiene/Personal Care,0.43,FLAGGED,EQUAL,vvcb,1704971885526,4218834,Oral temperature,Measurement,MAPS_TO,,<auto>,1704898298465,
MC/4850/42/130/3,Description,3585,,Intra-Operative Assessment Renal Part 1,0.55,FLAGGED,EQUAL,vvcb,1704969306679,4228438,p,Measurement,MAPS_TO,,<auto>,1704898299246,
AD/1825/1,NG Free Flowing,3,,Output - Vomit,0.37,FLAGGED,EQUAL,vvcb,1704973537270,4027321,"Cortisol measurement, free, urine",Measurement,MAPS_TO,,<auto>,1704898299434,
AD/67/2,Wt (kg),40,,Allergy/Ht/Wt/BMI - Adult,0.25,APPROVED,EQUAL,vvcb,1705047462422,4099154,Body weight,Measurement,MAPS_TO,,vvcb,1705047414926,
AG/1062/1/843/18,Other Problems?,1,,Elective Surgery Inpatient Admission Assessment (2015),0.29,FLAGGED,EQUAL,vvcb,1704974658593,46286529,Current View Contextual Problems - home,Measurement,MAPS_TO,,<auto>,1704898299809,
AG/2038/22/1387/10,Exudate Description,232,,Tissue Viability Referral (TVR),0.59,FLAGGED,EQUAL,vvcb,1704969735723,4208174,Viscosity of exudate,Measurement,MAPS_TO,,<auto>,1704898299887,
AD/109/1,Alcohol/Tobacco/Drug*,4,,Adult Inpatient Admission Assessment,0.36,FLAGGED,WIDER,vvcb,1705059306720,4094175,Health of the Nation Outcome Scale item 3 - alcohol/drug problem,Measurement,MAPS_TO,,<auto>,1704898300152,
RD/6090/22,Emergency Posters,139,,Tracheostomy Ward Round Form,0.53,FLAGGED,EQUAL,vvcb,1704969628535,37019008,Emergency Severity Index,Measurement,MAPS_TO,,<auto>,1704898300199,
AD/2343/3,Bathing & Dressing,1,,Paediatric And Adult Ward Expected Child Death Checklist,0.24,FLAGGED,UNREVIEWED,vvcb,1704962236188,4313591,Respiratory rate,Measurement,MAPS_TO,,<auto>,1704898300215,
AD/2/16,Toileting,3,,Adult Inpatient Admission Assessment,0.29,FLAGGED,WIDER,vvcb,1705058379102,37399049,Autoimmune profile,Measurement,MAPS_TO,,<auto>,1704898300902,
AD/846/1,Property/Valuables,3581,,Day Theatre Admission,0.30,FLAGGED,EQUAL,vvcb,1704975287900,4021778,Body fluid property,Measurement,MAPS_TO,,<auto>,1704898301027,
AD/27/10,WNL/WNL Except - M/S Skin/Nutrn/Metab 3,40,,Adult Inpatient Admission Assessment,0.16,FLAGGED,WIDER,vvcb,1705047427760,4277922,Delayed hypersensitivity skin test for tetanus,Measurement,MAPS_TO,,<auto>,1704898301324,
AD/833/1,Tetanus Status,4,,NHS 111 - A&E Triage (verjul06),0.61,FLAGGED,WIDER,vvcb,1705058365096,4120177,Lymphatic tumor invasion status stages,Measurement,MAPS_TO,,<auto>,1704898301434,
AG/930/1/806/2,Other?,1,,Theatre Pre-Op Adult Assmt (August 2007),0.41,FLAGGED,EQUAL,vvcb,1704974627914,37394139,Other urine volume,Measurement,MAPS_TO,,<auto>,1704898301449,
AD/2385/1,Date/Time,139,,PAINAD Score - Pain Assessment in Advanced Dementia,0.38,FLAGGED,EQUAL,vvcb,1704969113889,4090332,Dead space/tidal volume ratio,Measurement,MAPS_TO,,<auto>,1704898301465,
AG/2646/4/1535/11,Nil by Mouth,232,,NEW Care Plan: Planned Pre-operative,0.24,FLAGGED,EQUAL,vvcb,1704973548757,4178734,Pressure difference between alveoli and mouth,Measurement,MAPS_TO,,<auto>,1704898301512,
AG/158/1/61/7,Onset date,1,,Allergy Assessment,0.31,FLAGGED,EQUAL,vvcb,1704974627914,4267971,Age of onset of menstruation,Measurement,MAPS_TO,,<auto>,1704898301840,
AG/1264/1/901/1,Referral,3578,,Falls Risk Assessment and Care Plan (ClinDoc),0.56,FLAGGED,EQUAL,vvcb,1704975437925,4278971,Radioreceptor assay,Measurement,MAPS_TO,,<auto>,1704898302199,
AG/1080/1/859/8,Increased risk?,3,,Elective Surgery Inpatient Admission Assessment (2015),0.36,FLAGGED,EQUAL,vvcb,1704971875745,44808354,QCancer pancreatic cancer risk,Measurement,MAPS_TO,,<auto>,1704898302887,
RD/6090/11,Passy Muir Valve,139,,Tracheostomy Ward Round Form,0.33,FLAGGED,EQUAL,vvcb,1704974979003,4108606,Mitral valve area,Measurement,MAPS_TO,,<auto>,1704898302965,
AD/1197/1,Notification of >140Kg,40,,Emergency Admission Assessment (2015),0.21,FLAGGED,EQUAL,vvcb,1704973558101,4053186,Plant identification procedure,Measurement,MAPS_TO,,<auto>,1704898303231,
RD/5590/24,Warning Triangle?,232,,SAU Assessment,0.25,FLAGGED,WIDER,vvcb,1705047495442,40482484,Early warning scoring system,Measurement,MAPS_TO,,<auto>,1704898303746,
AG/1082/1/861/11,Hx of Confusion?,1,,Elective Surgery Inpatient Admission Assessment (2015),0.31,FLAGGED,EQUAL,vvcb,1704971839978,44807161,Short confusion assessment method,Measurement,MAPS_TO,,<auto>,1704898303777,
AG/604/1/63/4,Reaction Type,3573,,A&E Triage (verjul06),0.47,FLAGGED,EQUAL,vvcb,1705060916471,4097741,Rh system antigen type determination,Measurement,MAPS_TO,,<auto>,1704898304137,
AD/2135/4,Operation cancelled reason,4,,Paediatric Admission under GA Assessment,0.40,FLAGGED,EQUAL,vvcb,1704974627914,4169161,Letter cancelation test,Measurement,MAPS_TO,,<auto>,1704898304231,
AD/2385/4,Behaviours,139,,PAINAD Score - Pain Assessment in Advanced Dementia,0.73,FLAGGED,WIDER,vvcb,1705061584590,4157239,Behavior rating scale,Measurement,MAPS_TO,,<auto>,1704898304434,
AG/1090/1/868/1,Any Problems?,1,,Elective Surgery Inpatient Admission Assessment (2015),0.29,FLAGGED,WIDER,vvcb,1705060873454,36674605,Test of problem solving,Measurement,MAPS_TO,,<auto>,1704898304824,
AG/22/7/153/2,Descriptn,3,,Adult Inpatient Admission Assessment,0.42,FLAGGED,EQUAL,vvcb,1704969306679,4228438,p,Measurement,MAPS_TO,,<auto>,1704898304934,
AG/604/1/63/4,Reaction Type,40,,Allergy/Ht/Wt/BMI Assess Paed (new),0.47,FLAGGED,EQUAL,vvcb,1705060916471,4097741,Rh system antigen type determination,Measurement,MAPS_TO,,<auto>,1704898305122,
AG/272/1/203/7,Relief Lev/Dur,4,,Adult Inpatient Admission Assessment,0.11,FLAGGED,EQUAL,vvcb,1704975493494,37203929,Measurement of level of substance in blood,Measurement,MAPS_TO,,<auto>,1704898305637,
AD/2348/5,Contraindications,1,,VTE Assessment (ClinDoc 6.4),0.32,FLAGGED,EQUIVALENT,vvcb,1704968979812,37017367,Groningen Frailty Indicator,Measurement,MAPS_TO,,<auto>,1704898305794,
RD/4745/39,Occupation,231,,Holistic Needs Assessment,0.69,FLAGGED,EQUAL,vvcb,1704974595475,4304627,Occupational allergen RAST,Measurement,MAPS_TO,,<auto>,1704898305846,
AD/2385/11,Equivalent pain score,139,,PAINAD Score - Pain Assessment in Advanced Dementia,0.49,FLAGGED,EQUAL,vvcb,1704969680469,44782837,Metabolic equivalent of task,Measurement,MAPS_TO,,<auto>,1704898306451,
MC/5401/37/237/7,Increase Obs Frequency,3572,,MANUAL Ward Vital Signs,0.56,FLAGGED,EQUAL,vvcb,1704971875745,4313591,Respiratory rate,Measurement,MAPS_TO,,<auto>,1704898306498,
AD/1286/1,Allergy - Substance,40,,Allergy/Ht/Wt/BMI - Adult,0.50,APPROVED,EQUIVALENT,vvcb,1705061303847,4169307,Allergy to substance,Observation,MAPS_TO,,vvcb,1705061299728,
AG/771/1/774/21,Mobility,4,,Bowen Independence Assessment Score,0.70,FLAGGED,EQUAL,vvcb,1704972842056,4064496,Mobility screening,Measurement,MAPS_TO,,<auto>,1704898306826,
AG/2008/1/1264/4,Drinking (swallowing),3,,Hospital Passport,0.42,FLAGGED,EQUAL,vvcb,1704969490838,4271582,Tonography with water provocation,Measurement,MAPS_TO,,<auto>,1704898306951,
AD/1912/3,Mobilisation Personal Preferences,1,,NEW Care Plan: Infection Control/Temperature,0.45,FLAGGED,EQUAL,vvcb,1704972829448,4102245,Sperm immobilization test,Measurement,MAPS_TO,,<auto>,1704898307435,
AG/2646/4/1535/1,Interventions,231,,NEW Care Plan: Planned Pre-operative,0.44,FLAGGED,EQUAL,vvcb,1704971981870,4166618,Stuttering intervention program,Measurement,MAPS_TO,,<auto>,1704898307732,
RD/5389/98,IMPORTANT INFO,1,,NHS 111 - A&E Triage (verjul06),0.26,FLAGGED,EQUAL,vvcb,1704971875745,4158763,Stanford Binet intelligence scale,Measurement,MAPS_TO,,<auto>,1704898308138,
MC/2418/77/696/12,Comments,3563,,Mindray Ward Vital Signs,0.33,FLAGGED,EQUIVALENT,vvcb,1704968870434,4018456,Culture of specimen by commercial kit,Measurement,MAPS_TO,,<auto>,1704898308560,
AG/2076/1/1335/2,Amt,230,,Output - Drains/Tubes,0.46,FLAGGED,WIDER,vvcb,1705060873454,4019814,Triamterene measurement,Measurement,MAPS_TO,,<auto>,1704898308720,
AG/61/1/107/1,Valuables,3,,A&E Admission Assessment,0.35,FLAGGED,WIDER,vvcb,1705058657277,4139485,Evaluation of iron stores,Measurement,MAPS_TO,,<auto>,1704898308751,
RD/6090/21,Emergency Box,139,,Tracheostomy Ward Round Form,0.63,FLAGGED,EQUAL,vvcb,1704969628535,37019008,Emergency Severity Index,Measurement,MAPS_TO,,<auto>,1704898308923,
AG/273/1/54/3,Frequency,40,,Recovery Room Assessment 2nd Stage,0.74,FLAGGED,EQUAL,vvcb,1704971141372,4313591,Respiratory rate,Measurement,MAPS_TO,,<auto>,1704898308938,
AD/1928/4,Infection Control/Temperature Next Assessment,4,,NEW Care Plan: Hygiene/Personal Care,0.33,FLAGGED,EQUAL,vvcb,1704971898140,4165147,Human interaction assessment,Measurement,MAPS_TO,,<auto>,1704898309814,
AD/1926/4,Hygiene/Personal Care Next Assessment,1,,NEW Care Plan: Communication/Social Requirements,0.38,FLAGGED,EQUAL,vvcb,1704971862089,4169324,Personality assessment schedule,Measurement,MAPS_TO,,<auto>,1704898309954,
AD/2598/3,Name Preference,3563,,NEW Admission Assessment (2023),0.54,FLAGGED,EQUAL,vvcb,1704973386600,4212897,Thrombin time reference,Measurement,MAPS_TO,,<auto>,1704898310189,
RD/5103/8,Specialty,230,,Additional Medical Entry,0.35,FLAGGED,EQUAL,vvcb,1705062310498,4155614,Specimen size,Measurement,MAPS_TO,,<auto>,1704898310267,
AG/2006/1/1263/5,Current Medication,1,,Hospital Passport,0.53,FLAGGED,EQUAL,vvcb,1704969087834,46286499,Current View,Measurement,MAPS_TO,,<auto>,1704898310845,
AD/68/8,BMI - Adult,40,,Allergy/Ht/Wt/BMI - Adult,0.58,APPROVED,UNREVIEWED,vvcb,1704962314269,4245997,Body mass index,Measurement,MAPS_TO,,vvcb,1704962309460,
AG/22/17/110/1,Locatn,1,,Skin Assessment,0.30,FLAGGED,EQUAL,vvcb,1704972249304,4159699,Feelings of fatness questionnaire,Measurement,MAPS_TO,,<auto>,1704898311204,
AG/925/1/801/1,Currently smokes?,3,,Allergy/Ht/Wt/BMI Assess Adult (new),0.27,APPROVED,EQUAL,vvcb,1704969078718,4203874,Smoking monitoring status,Observation,MAPS_TO,,vvcb,1704969073500,
RD/6090/3,Date of initial insertion,139,,Tracheostomy Ward Round Form,0.25,FLAGGED,EQUAL,vvcb,1704969144386,37392623,Lupus insensitive activated partial thromboplastin time,Measurement,MAPS_TO,,<auto>,1704898311377,
AD/2115/3,Student/ANP Verify,4,,Paediatric Moving and Handling Assessment,0.22,FLAGGED,WIDER,vvcb,1705058304029,4194421,Gene studies,Measurement,MAPS_TO,,<auto>,1704898311470,
AD/2/10,Grooming,3,,Adult Inpatient Admission Assessment,0.34,FLAGGED,EQUAL,vvcb,1704971662341,37393759,Mushroom RAST test,Measurement,MAPS_TO,,<auto>,1704898312236,
AD/68/8,BMI - Adult,229,,Ht/Wt/BMI Adult (Pharmacy),0.58,APPROVED,UNREVIEWED,vvcb,1704962314269,4245997,Body mass index,Measurement,MAPS_TO,,vvcb,1704962309460,
AD/173/19,BM,139,,NHS 111 - A&E Triage (verjul06),0.30,APPROVED,WIDER,vvcb,1705061996759,37399654,Blood glucose level,Measurement,MAPS_TO,,vvcb,1705061992908,
AG/109/1/97/2,Tobacco,4,,Critical Care Admission Assessment,0.64,FLAGGED,WIDER,vvcb,1705058374055,4191133,Tobacco leaf RAST,Measurement,MAPS_TO,,<auto>,1704898312595,
AD/773/1,Document Allergies,40,,Allergy/Ht/Wt/BMI - Adult,0.29,FLAGGED,EQUAL,vvcb,1704969407678,4091130,Test for allergens,Measurement,MAPS_TO,,<auto>,1704898312658,
AG/1286/1/905/6,Onset Date,1,,Allergy/Ht/Wt/BMI Assess Paed (new),0.31,FLAGGED,EQUAL,vvcb,1704974627914,4267971,Age of onset of menstruation,Measurement,MAPS_TO,,<auto>,1704898312970,
AG/253/89/752/4,Dressing Clinic Appointment Made?,3559,,Theatre DCU Discharge Summary,0.21,FLAGGED,EQUAL,vvcb,1704969490838,4260399,Tricyclic antidepressant measurement,Measurement,MAPS_TO,,<auto>,1704898313064,
AD/833/1,Tetanus Status,229,,A&E Triage,0.61,FLAGGED,WIDER,vvcb,1705058365096,4120177,Lymphatic tumor invasion status stages,Measurement,MAPS_TO,,<auto>,1704898313564,
AG/2038/27/1388/9,Exudate?,139,,Tissue Viability Referral (NTOP),0.61,FLAGGED,EQUAL,vvcb,1704969723877,4208174,Viscosity of exudate,Measurement,MAPS_TO,,<auto>,1704898313689,
AG/1083/1/87/1,Eye Response,4,,Safeguarding Additional Clinical Entry,0.63,APPROVED,EQUAL,vvcb,1704969878968,4154920,Pupil reaction,Observation,MAPS_TO,,vvcb,1704969871147,
AD/2801/28,"PPE (gloves, aprons & protective eye wear) comments",1,,Laryngectomy Equipment Check,0.19,FLAGGED,EQUAL,vvcb,1704975144344,4173922,Burns weaning assessment program,Measurement,MAPS_TO,,<auto>,1704898314033,
RD/5585/87,Actual Peak Flow,40,,MANUAL Ward Vital Signs,0.80,APPROVED,NARROWER,vvcb,1704900460185,4197461,Peak flow rate (respiratory),Measurement,MAPS_TO,,vvcb,1704900458115,
AD/11/6,Involuntary Movement,1,,Anxiety Reassessment,0.79,FLAGGED,NARROWER,vvcb,1704900495020,4167594,Abnormal involuntary movement scale,Measurement,MAPS_TO,,<auto>,1704898314595,
RD/5386/30,Left Pupil,228,,A&E Triage (verjul06),0.49,APPROVED,EQUAL,vvcb,1704972154347,4154920,Pupil reaction,Observation,MAPS_TO,,vvcb,1704972149366,
AD/774/1,Visual Acuity,3548,,A&E Triage (verjul06),0.46,FLAGGED,WIDER,vvcb,1705047506988,4158877,Visual analog scale,Measurement,MAPS_TO,,<auto>,1704898314705,
AG/2005/1/1261/7,Support while I am in hospital at meal times?,3,,Hospital Passport,0.24,FLAGGED,WIDER,vvcb,1705058304029,4165277,London hospital pain chart assessment,Measurement,MAPS_TO,,<auto>,1704898314908,
AG/158/1/61/7,Onset date,1,,zzAllergy/Ht/Wt/BMI - Adult*,0.31,FLAGGED,EQUAL,vvcb,1704974627914,4267971,Age of onset of menstruation,Measurement,MAPS_TO,,<auto>,1704898315705,
AG/1247/2/903/34,Patient on O2,4,,Elective Surgery Inpatient Admission Assessment (2015),0.32,APPROVED,EQUAL,vvcb,1704975048917,4161978,Patient on oxygen,Condition,MAPS_TO,,vvcb,1704975043950,
RD/3690/15,Relative/Friend Present,139,,Holistic Needs Assessment,0.26,FLAGGED,EQUAL,vvcb,1704975493494,4098630,Luteinizing hormone/follicle stimulating hormone measurement,Measurement,MAPS_TO,,<auto>,1704898315846,
AG/1164/1/876/6,Mobility on Ward,1,,Falls Assessment and Prevention Plan (2015),0.54,FLAGGED,EQUAL,vvcb,1704972845066,4064496,Mobility screening,Measurement,MAPS_TO,,<auto>,1704898315971,
RD/4355/46,Date Specimen Sent,40,,Stool Chart,0.66,FLAGGED,EQUAL,vvcb,1704969144386,4155614,Specimen size,Measurement,MAPS_TO,,<auto>,1704898316111,
RD/6425/110,End Date & Time,227,,Dietetics Referral - Nursing Assessment,0.28,FLAGGED,EQUAL,vvcb,1704969628535,4057167,"Microscopy, culture and sensitivities",Measurement,MAPS_TO,,<auto>,1704898316299,
AD/1929/2,Nutrition Interventions,3,,NEW Care Plan: Mobilisation/Moving/Handling,0.36,FLAGGED,EQUAL,vvcb,1704973573992,4062650,Malnutrition screening,Measurement,MAPS_TO,,<auto>,1704898316799,
AG/1064/1/845/5,CVA/TIA?,4,,Elective Surgery Inpatient Admission Assessment (2015),0.20,FLAGGED,EQUAL,vvcb,1704969087834,4193031,Urine homovanillic acid/creatinine ratio,Measurement,MAPS_TO,,<auto>,1704898317190,
AD/2611/1,High Risk Management Guidelines,3543,,Dietetics Referral - Nursing Assessment,0.48,FLAGGED,EQUAL,vvcb,1704971786187,35610374,Case management risk assessment score,Measurement,MAPS_TO,,<auto>,1704898317377,
AG/1286/1/905/5,Severity,227,,zzAllergy/Ht/Wt/BMI - Adult*,0.57,FLAGGED,EQUAL,vvcb,1704975872260,4169152,Injury severity score,Measurement,MAPS_TO,,<auto>,1704898317830,
AG/2038/22/1387/8,Depth (cm),139,,Tissue Viability Referral (TVR),0.28,APPROVED,WIDER,vvcb,1704969257279,4077998,Depth,Observation,MAPS_TO,,vvcb,1704969249024,
AD/2100/3,Pressure Ulcer Next Assessment,1,,NEW Care Plan: Pain,0.57,FLAGGED,EQUAL,vvcb,1704975260660,44791677,Maelor pressure ulcer risk assessment score,Measurement,MAPS_TO,,<auto>,1704898317846,
AG/1062/1/843/11,Symptoms,1,,Elective Surgery Inpatient Admission Assessment (2015),0.59,FLAGGED,WIDER,vvcb,1705058306773,4090656,Symptom ratings,Measurement,MAPS_TO,,<auto>,1704898317877,
AD/160/1,Ht - Adult,40,,Allergy/Ht/Wt/BMI - Adult,0.51,APPROVED,EQUAL,vvcb,1704971829395,607590,Body height,Measurement,MAPS_TO,,vvcb,1704971823580,
AG/1086/1/864/4,Details,3540,,Emergency Admission Assessment (2015),0.32,FLAGGED,EQUAL,vvcb,1704969306679,4222151,"Arsenic measurement, nails",Measurement,MAPS_TO,,<auto>,1704898318659,
RD/4907/39,Dressing/Packs,4,,Intra-Operative Assessment Endo Part 1,0.22,FLAGGED,EQUAL,vvcb,1704969490838,4092805,Salicylate/paracetamol screening,Measurement,MAPS_TO,,<auto>,1704898318815,
AG/2008/1/1264/5,Going to the toilet,3,,Hospital Passport,0.18,FLAGGED,EQUAL,vvcb,1704971662341,46286876,Current View Provisional Problem Description item 18 - doesn't get to toilet in time,Measurement,MAPS_TO,,<auto>,1704898319362,
AD/2343/6,Memory box item,1,,Paediatric And Adult Ward Expected Child Death Checklist,0.42,FLAGGED,EQUAL,vvcb,1704972785449,4164807,Blessed dementia rating scale,Measurement,MAPS_TO,,<auto>,1704898319534,
RD/5386/32,SPO2 (Resp Disease),226,,A&E Triage (verjul06),0.51,APPROVED,EQUAL,vvcb,1704980494652,4196147,Peripheral oxygen saturation,Measurement,MAPS_TO,,vvcb,1704980489359,
AD/770/1,Support in place,1,,Bowen Discharge Assessment,0.36,FLAGGED,WIDER,vvcb,1705058304029,4158759,Social support questionnaire,Measurement,MAPS_TO,,<auto>,1704898319815,
RD/6090/31,Cuff deflation?,40,,Tracheostomy Ward Round Form,0.35,FLAGGED,EQUAL,vvcb,1704969016382,4354254,Non-invasive arterial pressure,Measurement,MAPS_TO,,<auto>,1704898320002,
AD/1927/1,Infection Control/Temperature Aim/Objectives,4,,NEW Care Plan: Hygiene/Personal Care,0.34,FLAGGED,EQUAL,vvcb,1704971885526,4218834,Oral temperature,Measurement,MAPS_TO,,<auto>,1704898320708,
AG/2659/1/1536/1,Surgery performed,3533,,NEW Care Plan: Orthopaedic Post Op,0.41,FLAGGED,WIDER,vvcb,1705058304029,37017915,Short Physical Performance Battery,Measurement,MAPS_TO,,<auto>,1704898320880,
AG/1083/1/87/8,Eye Graph,225,,A-E Assessment,0.47,APPROVED,WIDER,vvcb,1705062146144,4084277,Glasgow Coma Score eye opening subscore,Observation,MAPS_TO,,vvcb,1705062143300,
AG/2006/1/1263/11,Contact Number,3,,Hospital Passport,0.61,FLAGGED,EQUIVALENT,vvcb,1704968979812,4307447,Roche number,Measurement,MAPS_TO,,<auto>,1704898321020,
